,Alanine (g),"Alcohol, ethyl (g)",Arginine (g),Ash (g),Aspartic acid (g),Beta-sitosterol (g),Betaine (g),Butanoic acid (g),Caffeine (g),"Calcium, Ca (g)",Calories (g),Campesterol (g),Carbohydrate (g),"Carotene, alpha (g)","Carotene, beta (g)",Cholesterol (g),Choline (g),"Cis,cis,cis-octadecatrienoic n-3 acid (g)","Cis,cis,cis-octadecatrienoic n-6 acid (g)","Cis,cis-eicosadienoic n-6 acid (g)","Cis,cis-octadecadienoic n-6 acid (g)",Cis-hexadecenoic acid (g),Cis-octadecenoic acid (g),"Copper, Cu (g)","Cryptoxanthin, beta (g)",Cystine (g),Decanoic acid (g),Dihydrophylloquinone (g),Docosahexaenoic n-3 acid (g),Docosanoic acid (g),Docosapentaenoic n-3 acid (g),Docosatetraenoic acid (g),Docosenoic acid (g),Docosenoic cis acid (g),Docosenoic trans acid (g),Dodecanoic acid (g),Eicosadienoic acid (g),Eicosadienoic n-3 acid (g),Eicosadienoic n-6 acid (g),Eicosanoic acid (g),Eicosapentaenoic n-3 acid (g),Eicosatetraenoic acid (g),Eicosenoic acid (g),Fat (g),"Fatty acids, total trans (g)","Fatty acids, total trans-monoenoic (g)","Fatty acids, total trans-polyenoic (g)",Fiber (g),"Fluoride, F (g)",Folate (g),Folic acid (g),Fructose (g),Galactose (g),Glucose (dextrose) (g),Glutamic acid (g),Glycine (g),Heptadecanoic acid (g),Heptadecenoic acid (g),Hexadecanoic acid (g),Hexadecenoic acid (g),Hexanoic acid (g),Histidine (g),Hydroxyproline (g),Irans-Octadecadienoic acid (g),"Iron, Fe (g)",Isoleucine (g),Lactose (g),Leucine (g),Lutein + zeaxanthin (g),Lycopene (g),Lysine (g),"Magnesium, Mg (g)",Maltose (g),"Manganese, Mn (g)",Menaquinone-4 (g),Methionine (g),Monounsaturated fatty acids (g),Niacin (g),Octadecadienoic CLAs acid (g),Octadecadienoic acid (g),Octadecanoic acid (g),Octadecatetraenoic acid (g),Octadecatrienoic acid (g),Octadecenoic acid (g),Octanoic acid (g),Pantothenic acid (g),Pentadecanoic acid (g),Pentadecenoic acid (g),Phenylalanine (g),"Phosphorus, P (g)",Phytosterols (g),Polyunsaturated fatty acids (g),"Potassium, K (g)",Proline (g),Protein (g),Riboflavin (g),Saturated fatty acids (g),"Selenium, Se (g)",Serine (g),Serving Size (g),"Sodium, Na (g)",Starch (g),Stigmasterol (g),Sucrose (g),Sugars (g),Tetracosanoic acid (g),Tetracosenoic cis acid (g),Tetradecanoic acid (g),Tetradecenoic acid (g),Theobromine (g),Thiamin (g),Threonine (g),"Tocopherol, alpha (g)","Tocopherol, beta (g)","Tocopherol, delta (g)","Tocopherol, gamma (g)","Tocotrienol, alpha (g)","Tocotrienol, beta (g)","Tocotrienol, delta (g)","Tocotrienol, gamma (g)","Trans,trans-octadecadienoic acid (g)",Trans-hexadecenoic acid (g),Trans-octadecadienoic acid (g),Trans-octadecatrienoic acid (g),Trans-octadecenoic acid (g),Tridecanoic acid (g),Tryptophan (g),Tyrosine (g),Uncosapentaenoic acid (g),Valine (g),Vitamin A (IU),"Vitamin A, RAE (g)",Vitamin B12 (g),Vitamin B6 (g),Vitamin C (g),Vitamin D (IU),Vitamin D2 (ergocalciferol) (g),Vitamin D3 (cholecalciferol) (g),Vitamin E (g),Vitamin K (g),Water (g),"Zinc, Zn (g)"
"Mushrooms, raw, white",0.199,0.0,0.078,0.85,0.195,0.0,0.0094,0.0,0.0,0.003,0.0,0.002,3.26,0.0,0.0,0.0,0.0173,0.0,0.0,0.0,0.0,0.0,0.0,0.00031800000000000003,0.0,0.012,0.0,1e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34,0.0,0.0,0.0,1.0,0.0,1.7e-05,0.0,0.17,0.0,1.48,0.343,0.092,0.0,0.0,0.04,0.0,0.0,0.057,0.0,0.0,0.0005,0.076,0.0,0.12,0.0,0.0,0.107,0.009000000000000001,0.0,4.7000000000000004e-05,0.0,0.031,0.0,0.0036070000000000004,0.0,0.16,0.01,0.0,0.0,0.0,0.0,0.001497,0.0,0.0,0.085,0.08600000000000001,0.0,0.16,0.318,0.076,3.09,0.000402,0.05,9.3e-06,0.094,100.0,0.005,0.0,0.0,0.0,1.98,0.0,0.0,0.0,0.0,0.0,8.1e-05,0.107,1e-05,1e-05,1e-05,1e-05,5e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.035,0.044,0.0,0.232,0.0,0.0,4e-08,0.000104,0.0021000000000000003,7.0,2e-07,0.0,1e-05,0.0,92.45,0.0005200000000000001
"Mustard greens, raw",0.0,0.0,0.0,1.36,0.0,0.0,0.0,0.0,0.0,0.115,0.0,0.0,4.67,9.999999999999999e-06,0.00179,0.0,0.0005,0.0,0.0,0.0,0.0,0.0,0.0,0.000165,3.9999999999999996e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019,0.42,0.0,0.0,0.0,3.2,0.0,1.2e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.00164,0.0,0.0,0.0,0.00373,0.0,0.0,0.032,0.0,0.0,0.0,0.0,0.092,0.0008,0.0,0.02,0.002,0.0,0.018,0.015,0.0,0.00021,0.0,0.0,0.0,0.058,0.0,0.038,0.384,0.0,2.86,0.00011,0.01,9e-07,0.0,100.0,0.02,0.0,0.0,0.0,1.32,0.0,0.0,0.0,0.0,0.0,8e-05,0.0,0.0020099999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3024.0,0.00015099999999999998,0.0,0.00017999999999999998,0.07,0.0,0.0,0.0,0.0020099999999999996,0.00025749999999999997,90.7,0.00025
"Mustard greens, unprepared, frozen",0.0,0.0,0.181,0.63,0.0,0.0,0.0,0.0,0.0,0.116,0.0,0.0,3.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.7e-05,0.0,0.037,0.0,0.0,0.0,0.0,0.0,0.0,0.077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026,0.27,0.0,0.0,0.0,3.3,0.0,0.000138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006,0.001,0.0,0.045,0.0,0.0,0.0012900000000000001,0.091,0.0,0.076,0.0,0.0,0.113,0.015,0.0,0.00033900000000000005,0.0,0.023,0.124,0.000314,0.0,0.027,0.002,0.0,0.024,0.02,0.0,1.9e-05,0.0,0.0,0.066,0.03,0.0,0.051,0.17,0.0,2.49,6.1e-05,0.014,7e-07,0.0,100.0,0.029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8e-05,0.066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027,0.132,0.0,0.097,5155.0,0.000258,0.0,0.000131,0.0253,0.0,0.0,0.0,0.0,0.0,93.21,0.00023
"Mustard, yellow, prepared",0.164,0.0,0.252,3.37,0.39,0.0,0.0002,0.0,0.0,0.063,0.0,0.0,5.83,1e-06,5.1e-05,0.0,0.0224,0.373,0.0,0.01,0.358,0.008,0.774,7.4e-05,2.7e-05,0.072,0.005,0.0,0.0,0.016,0.0,0.0,1.056,1.056,0.0,0.002,0.018,0.018,0.0,0.02,0.0,0.0,0.289,3.34,0.009,0.004,0.005,4.0,1.5e-06,7e-06,0.0,0.23,0.0,0.47,0.724,0.228,0.002,0.0,0.117,0.008,0.0,0.119,0.0,0.0,0.00161,0.146,0.0,0.292,0.000113,0.0,0.264,0.048,0.0,0.000422,0.0,0.076,2.182,0.000565,0.0,0.363,0.038,0.0,0.374,0.778,0.0,0.000254,0.002,0.0,0.161,0.108,0.0,0.774,0.152,0.355,3.74,7.000000000000001e-05,0.214,3.35e-05,0.204,100.0,1.104,0.64,0.0,0.21,0.92,0.009,0.051,0.004,0.0,0.0,0.000177,0.167,0.00035999999999999997,0.0,8e-05,0.00215,2e-05,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.004,0.0,0.009,0.134,0.0,0.189,109.0,4.9999999999999996e-06,0.0,7.000000000000001e-05,0.0003,0.0,0.0,0.0,0.00035999999999999997,1.4e-06,83.72,0.00064
"NABISCO, NABISCO GRAHAMS Crackers",0.0,0.0,0.0,2.8,0.0,0.0,0.0,0.0,0.0,0.079,0.0,0.0,76.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,3.4,0.0,4.6e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00413,0.0,0.0,0.0,0.0,0.0,0.0,0.059000000000000004,0.0,0.0,0.0,0.0,3.6,0.00378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.202,0.0,0.46,0.177,0.0,6.99,0.00024,1.56,0.0,0.0,100.0,0.659,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.000228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,3.6,0.0019399999999999999
"Nuts, almond paste",0.0,0.0,0.0,1.37,0.0,0.0,0.0,0.0,0.0,0.17200000000000001,0.0,0.0,47.81,0.0,0.0,0.0,0.0285,0.0,0.0,0.0,0.0,0.0,0.0,0.00045400000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.027,27.74,0.0,0.0,0.0,4.8,0.0,7.3e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.836,0.162,0.0,0.0,0.0,0.0,0.0016,0.0,0.0,0.0,1e-06,0.0,0.0,0.13,0.0,0.000856,0.0,0.0,18.012,0.0014219999999999999,0.0,5.576,0.542,0.0,0.199,17.68,0.0,0.00011300000000000001,0.0,0.0,0.0,0.258,0.0,5.821,0.314,0.0,9.0,0.000414,2.629,4.2e-06,0.0,100.0,0.009000000000000001,0.0,0.0,0.0,36.25,0.0,0.0,0.158,0.0,0.0,8.2e-05,0.0,0.01354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6e-05,0.0001,0.0,0.0,0.0,0.01354,0.0,14.08,0.00148
"Nuts, almonds",0.999,0.0,2.465,2.97,2.639,0.13,0.0005,0.0,0.0,0.269,0.0,0.005,21.55,0.0,1e-06,0.0,0.0521,0.003,0.0,0.002,12.32,0.227,31.294,0.001031,0.0,0.215,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007,0.0,0.0,0.005,49.93,0.015,0.012,0.003,12.5,0.0,4.4e-05,0.0,0.11,0.07,0.17,6.206,1.429,0.004,0.013,3.083,0.239,0.0,0.539,0.0,0.0,0.00371,0.751,0.0,1.473,1e-06,0.0,0.568,0.27,0.04,0.002179,0.0,0.157,31.551,0.003618,0.002,12.324,0.704,0.0,0.003,31.294,0.0,0.000471,0.0,0.0,1.132,0.481,0.0,12.329,0.733,0.969,21.15,0.001138,3.802,4.1e-06,0.912,100.0,0.001,0.72,0.004,3.95,4.35,0.0,0.0,0.003,0.0,0.0,0.000205,0.601,0.02563,0.00023,7.000000000000001e-05,0.00064,0.0,0.0,0.0,0.0,0.0,0.012,0.003,0.0,0.0,0.0,0.211,0.45,0.0,0.855,2.0,0.0,0.0,0.00013700000000000002,0.0,0.0,0.0,0.0,0.02563,0.0,4.41,0.0031200000000000004
"Nuts, english, walnuts",0.696,0.0,2.278,1.78,1.829,0.08700000000000001,0.0003,0.0,0.0,0.098,0.0,0.005,13.71,0.0,1.2e-05,0.0,0.039200000000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0015860000000000002,0.0,0.208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.063,0.0,0.0,0.134,65.21,0.0,0.0,0.0,6.7,0.0,9.8e-05,0.0,0.09,0.0,0.08,2.816,0.816,0.0,0.0,4.404,0.0,0.0,0.391,0.0,0.0,0.0029100000000000003,0.625,0.0,1.17,9e-06,0.0,0.424,0.158,0.0,0.0034140000000000004,0.0,0.236,8.933,0.0011250000000000001,0.0,38.093,1.659,0.0,9.08,8.799,0.0,0.00057,0.0,0.0,0.711,0.34600000000000003,0.0,47.174,0.441,0.706,15.23,0.00015,6.126,4.9000000000000005e-06,0.934,100.0,0.002,0.06,0.0,2.43,2.61,0.0,0.0,0.0,0.0,0.0,0.00034100000000000005,0.596,0.0007,0.00015,0.00189,0.020829999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.406,0.0,0.753,20.0,1e-06,0.0,0.000537,0.0013000000000000002,0.0,0.0,0.0,0.0007,2.7e-06,4.07,0.00309
"Nuts, glazed, walnuts",0.0,0.0,0.0,2.13,0.0,0.0,0.0,0.0,0.0,0.07100000000000001,0.0,0.0,47.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.71,0.0,0.0,0.0,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012900000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.232,0.0,8.28,0.0,3.571,0.0,0.0,100.0,0.446,0.0,0.0,0.0,32.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.28,0.0
"Nuts, lightly salted, with peanuts, oil roasted, mixed nuts",0.982,0.0,2.965,2.88,2.892,0.0,0.0,0.004,0.0,0.117,0.0,0.0,21.05,0.0,2e-06,0.0,0.052000000000000005,0.082,0.0,0.013,14.455,0.127,27.893,0.000907,0.0,0.288,0.002,0.0,0.0,0.641,0.0,0.005,0.027,0.027,0.0,0.002,0.0,0.0,0.0,0.361,0.005,0.01,0.375,53.95,0.055,0.023,0.032,7.0,0.0,8.3e-05,0.0,0.0,0.0,0.0,5.574,1.387,0.046,0.037,5.205,0.128,0.0,0.572,0.0,0.0,0.00261,0.826,0.0,1.656,8e-06,0.0,0.782,0.229,0.0,0.00204,0.0,0.283,28.488,0.007709,0.008,14.495,2.022,0.001,0.082,27.914,0.003,0.00114,0.005,0.0,1.182,0.456,0.0,14.612,0.632,0.957,20.04,0.00019600000000000002,8.711,3.39e-05,1.168,100.0,0.161,4.2,0.0,4.15,4.15,0.378,0.006,0.043,0.001,0.0,0.000189,0.703,0.00782,0.00022,0.00032,0.00639,4e-05,0.0,0.0,3e-05,0.0,0.001,0.032,0.0,0.021,0.0,0.22,0.786,0.0,1.001,3.0,0.0,0.0,0.000352,0.0005,0.0,0.0,0.0,0.00782,5.7e-06,2.08,0.00336
"Nuts, pecans",0.397,0.0,1.177,1.49,0.929,0.117,0.0007,0.0,0.0,0.07,0.0,0.006,13.86,0.0,2.9e-05,0.0,0.0405,0.0,0.0,0.0,0.0,0.0,0.0,0.0012,9e-06,0.152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.069,0.0,0.0,0.207,71.97,0.0,0.0,0.0,9.6,9.999999999999999e-06,2.2e-05,0.0,0.04,0.0,0.04,1.829,0.453,0.0,0.0,4.366,0.0,0.0,0.262,0.0,0.0,0.0025299999999999997,0.336,0.0,0.598,1.7e-05,0.0,0.287,0.121,0.0,0.0045000000000000005,0.0,0.183,40.801,0.001167,0.0,20.628,1.745,0.0,0.986,40.594,0.0,0.000863,0.0,0.0,0.426,0.277,0.0,21.614,0.41000000000000003,0.363,9.17,0.00013000000000000002,6.18,3.7999999999999996e-06,0.474,100.0,0.0,0.46,0.003,3.9,3.97,0.0,0.0,0.0,0.0,0.0,0.00066,0.306,0.0014,0.00039000000000000005,0.00047,0.024440000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.093,0.215,0.0,0.411,56.0,3e-06,0.0,0.00021,0.0011,0.0,0.0,0.0,0.0014,3.5e-06,3.52,0.00453
"Nuts, raw, coconut meat",0.17,0.0,0.546,0.97,0.325,0.0,0.0,0.0,0.0,0.014,0.0,0.0,15.23,0.0,0.0,0.0,0.0121,0.0,0.0,0.0,0.0,0.0,0.0,0.000435,0.0,0.066,1.864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.49,0.0,0.0,0.0,9.0,0.0,2.6e-05,0.0,0.0,0.0,0.0,0.761,0.158,0.0,0.0,2.839,0.0,0.191,0.077,0.0,0.0,0.0024300000000000003,0.131,0.0,0.247,0.0,0.0,0.147,0.032,0.0,0.0015,0.0,0.062,1.425,0.00054,0.0,0.366,1.734,0.0,0.0,1.425,2.346,0.0003,0.0,0.0,0.169,0.113,0.047,0.366,0.356,0.138,3.33,2e-05,29.698,1.01e-05,0.172,100.0,0.02,0.0,0.0,0.0,6.23,0.0,0.0,5.866,0.0,0.0,6.6e-05,0.121,0.00024,0.0,0.0,0.0005300000000000001,0.00146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.039,0.103,0.0,0.202,0.0,0.0,0.0,5.4e-05,0.0033,0.0,0.0,0.0,0.00024,2e-07,46.99,0.0011
"Oil, all purpose salad or cooking, industrial and retail, corn",0.0,0.0,0.0,0.0,0.0,0.621,0.0,0.0,0.0,0.0,0.0,0.189,0.0,0.0,0.0,0.0,0.0002,1.161,0.0,0.0,53.23,0.114,27.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.431,0.0,0.0,0.129,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.067,0.0,10.579,0.114,0.0,0.0,0.0,0.286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.576,0.0,0.0,53.515,1.848,0.0,1.161,27.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.677,0.0,0.0,0.0,0.0,12.948,0.0,0.0,100.0,0.0,0.0,0.056,0.0,0.0,0.0,0.0,0.024,0.0,0.0,0.0,0.0,0.0143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0143,1.8999999999999998e-06,0.0,0.0
"Oil, almond",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.5,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.9,0.0,0.0,17.4,1.7,0.0,0.0,69.4,0.0,0.0,0.0,0.0,0.0,0.0,0.266,17.4,0.0,0.0,0.0,0.0,8.2,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.039200000000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.039200000000000006,7e-06,0.0,0.0
"Oil, and olive, peanut, corn",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.533,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.467,0.3,0.0,0.0,0.0,0.0,0.00013000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.033,0.0,0.0,32.633,2.067,0.0,0.433,47.167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.033,0.0,0.0,0.0,0.0,14.367,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.033,0.0,0.0,0.0,0.0,0.01478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01478,2.1e-05,0.0,2e-05
"Oil, coconut",0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.009,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0003,0.019,0.0,0.0,1.676,0.016,6.253,0.0,0.0,0.0,5.39,0.0,0.0,0.019,0.0,0.0,0.0,0.0,0.0,41.84,0.0,0.0,0.0,0.076,0.0,0.0,0.041,99.06,0.028,0.021,0.007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009,0.0,8.636,0.016,0.477,0.0,0.0,0.0,5e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.332,0.0,0.0,1.683,2.516,0.0,0.019,6.274,6.802,0.0,0.015,0.0,0.0,0.0,0.08600000000000001,1.702,0.0,0.0,0.0,0.0,82.475,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.031,0.0,16.653,0.0,0.0,0.0,0.0,0.00011,0.0006,0.00017999999999999998,0.0,0.00217,0.00013000000000000002,0.00025,0.00035999999999999997,0.0,0.0,0.007,0.0,0.021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00011,6e-07,0.03,2e-05
"Oil, corn and canola",0.0,0.0,0.0,0.0,0.0,0.419,0.0,0.0,0.0,0.0,0.0,0.233,0.0,0.0,0.0,0.0,0.0002,5.798,0.0,0.0,22.981,0.0,57.142,0.0,0.0,0.0,0.0,0.0,0.0,0.306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.615,0.0,0.0,1.204,100.0,0.334,0.0,0.334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.076,0.191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.537,0.0,0.0,23.315,2.028,0.0,5.798,57.142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.113,0.0,0.0,0.0,0.0,8.026,0.0,0.0,100.0,0.0,0.0,0.009000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01484,0.0,0.00128,0.03537,0.0,0.0,0.0,0.00013000000000000002,0.334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01484,4.22e-05,0.0,0.0
"Oil, high oleic (70%), non trans, high stability, Natreon canola, vegetable",0.0,0.0,0.0,0.0,0.0,0.426,0.0,0.0,0.0,0.0,0.0,0.202,0.0,0.0,0.0,0.0,0.0,2.07,0.0,0.0,14.339,0.286,69.893,0.0,0.0,0.0,0.0,0.0,0.0,0.29,0.0,0.0,0.241,0.0,0.0,0.0,0.0,0.0,0.0,0.674,0.0,0.0,1.348,100.0,0.767,0.077,0.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.437,0.286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.991,0.0,0.0,14.501,1.918,0.0,2.597,69.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.098,0.0,0.0,0.0,0.0,6.511,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.145,0.145,0.047,0.0,0.0,0.0,0.0,0.0218,0.0,0.0,0.0218,0.0,0.0,0.0,0.0,0.0,0.0,0.163,0.527,0.077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0218,0.0,0.0,0.0
"Oil, nutmeg butter",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8,0.0,0.0,0.0,0.0,0.0,0.0,4.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.6,0.0,0.0,0.0,0.0,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002,0.0,0.0,0.0
