,18,Adjusted Protein,Alanine,"Alcohol, ethyl",Arginine,Ash,Aspartic acid,Beta-sitosterol,Betaine,Butanoic acid,Caffeine,"Calcium, Ca",Calories,Campesterol,Carbohydrate,"Carotene, alpha","Carotene, beta",Cholesterol,Choline,"Cis,cis,cis-octadecatrienoic n-3 acid","Cis,cis,cis-octadecatrienoic n-6 acid","Cis,cis-eicosadienoic n-6 acid","Cis,cis-octadecadienoic n-6 acid",Cis-hexadecenoic acid,Cis-octadecenoic acid,"Copper, Cu","Cryptoxanthin, beta",Cystine,Decanoic acid,Dihydrophylloquinone,Docosahexaenoic n-3 acid,Docosanoic acid,Docosapentaenoic n-3 acid,Docosatetraenoic acid,Docosenoic acid,Docosenoic cis acid,Docosenoic trans acid,Dodecanoic acid,Eicosadienoic acid,Eicosadienoic n-3 acid,Eicosadienoic n-6 acid,Eicosanoic acid,Eicosapentaenoic n-3 acid,Eicosatetraenoic acid,Eicosenoic acid,Fat,"Fatty acids, total trans","Fatty acids, total trans-monoenoic","Fatty acids, total trans-polyenoic",Fiber,"Fluoride, F",Folate,Folic acid,Fructose,Galactose,Glucose (dextrose),Glutamic acid,Glycine,Heptadecanoic acid,Heptadecenoic acid,Hexadecanoic acid,Hexadecenoic acid,Hexanoic acid,Histidine,Hydroxyproline,Irans-Octadecadienoic acid,"Iron, Fe",Isoleucine,Lactose,Leucine,Lutein + zeaxanthin,Lycopene,Lysine,"Magnesium, Mg",Maltose,"Manganese, Mn",Menaquinone-4,Methionine,Monounsaturated fatty acids,Niacin,Octadecadienoic CLAs acid,Octadecadienoic acid,Octadecanoic acid,Octadecatetraenoic acid,Octadecatrienoic acid,Octadecenoic acid,Octanoic acid,Pantothenic acid,Pentadecanoic acid,Pentadecenoic acid,Phenylalanine,"Phosphorus, P",Phytosterols,Polyunsaturated fatty acids,"Potassium, K",Proline,Protein,Riboflavin,Saturated fatty acids,"Selenium, Se",Serine,Serving Size,"Sodium, Na",Starch,Stigmasterol,Sucrose,Sugars,Tetracosanoic acid,Tetracosenoic cis acid,Tetradecanoic acid,Tetradecenoic acid,Theobromine,Thiamin,Threonine,"Tocopherol, alpha","Tocopherol, beta","Tocopherol, delta","Tocopherol, gamma","Tocotrienol, alpha","Tocotrienol, beta","Tocotrienol, delta","Tocotrienol, gamma","Trans,trans-octadecadienoic acid",Trans-hexadecenoic acid,Trans-octadecadienoic acid,Trans-octadecatrienoic acid,Trans-octadecenoic acid,Tridecanoic acid,Tryptophan,Tyrosine,Uncosapentaenoic acid,Valine,Vitamin A,"Vitamin A, RAE",Vitamin B12,Vitamin B6,Vitamin C,Vitamin D,Vitamin D2 (ergocalciferol),Vitamin D3 (cholecalciferol),Vitamin E,Vitamin K,Water,"Zinc, Zn"
"Oil, coconut",,,0.000 g,0.0 g,0.000 g,0.03 g,0.000 g,,,0.009 g,0.00 mg,1.00 mg,892,,0.00 g,0.00 mcg,0.00 mcg,0.00 mg,0.3 mg,0.019 g,0.000 g,0.000 g,1.676 g,0.016 g,6.253 g,0.000 mg,0.00 mcg,0.000 g,5.390 g,0.0 mcg,0.000 g,0.019 g,0.000 g,0.000 g,0.000 g,0.000 g,0.000 g,41.840 g,0.000 g,0.000 g,0.000 g,0.076 g,0.000 g,0.000 g,0.041 g,99.06 g,0.028 g,0.021 g,0.007 g,0.0 g,,0.00 mcg,0.00 mcg,,,,0.000 g,0.000 g,0.009 g,0.000 g,8.636 g,0.016 g,0.477 g,0.000 g,,,0.05 mg,0.000 g,,0.000 g,0.00 mcg,0.00 mcg,0.000 g,0.00 mg,,0.000 mg,0.0 mcg,0.000 g,6.332 g,0.000 mg,0.000 g,1.683 g,2.516 g,0.000 g,0.019 g,6.274 g,6.802 g,0.000 mg,0.015 g,0.000 g,0.000 g,0.00 mg,86.00 mg,1.702 g,0.00 mg,0.000 g,0.00 g,0.000 mg,82.475 g,0.0 mcg,0.000 g,100 g,0.00 mg,,,,0.00 g,0.031 g,0.000 g,16.653 g,0.000 g,0.00 mg,0.000 mg,0.000 g,0.11 mg,0.60 mg,0.18 mg,0.00 mg,2.17 mg,0.13 mg,0.25 mg,0.36 mg,,0.000 g,0.007 g,0.000 g,0.021 g,,0.000 g,0.000 g,,0.000 g,0.00 IU,0.00 mcg,0.00 mcg,0.000 mg,0.0 mg,0.00 IU,,,0.11 mg,0.6 mcg,0.03 g,0.02 mg
"Oil, corn and canola",,,,0.0 g,,0.00 g,,419.00 mg,0.0 mg,0.000 g,0.00 mg,0.00 mg,884,233.00 mg,0.00 g,0.00 mcg,0.00 mcg,0.00 mg,0.2 mg,5.798 g,0.000 g,0.000 g,22.981 g,,57.142 g,0.000 mg,0.00 mcg,,0.000 g,0.0 mcg,0.000 g,0.306 g,0.000 g,,0.000 g,,,0.000 g,0.000 g,,,0.615 g,0.000 g,0.000 g,1.204 g,100.00 g,0.334 g,0.000 g,0.334 g,0.0 g,,0.00 mcg,0.00 mcg,,,,,,0.000 g,0.000 g,5.076 g,0.191 g,0.000 g,,,,0.00 mg,,,,0.00 mcg,0.00 mcg,,0.00 mg,,,0.0 mcg,,58.537 g,0.000 mg,,23.315 g,2.028 g,0.000 g,5.798 g,57.142 g,0.000 g,,0.000 g,0.000 g,,0.00 mg,,29.113 g,0.00 mg,,0.00 g,0.000 mg,8.026 g,0.0 mcg,,100 g,0.00 mg,,9.00 mg,,0.00 g,,,0.000 g,0.000 g,0.00 mg,0.000 mg,,14.84 mg,0.00 mg,1.28 mg,35.37 mg,0.00 mg,0.00 mg,0.00 mg,0.13 mg,0.334 g,,,,0.000 g,,,,,,0.00 IU,0.00 mcg,0.00 mcg,0.000 mg,0.0 mg,0.00 IU,,,14.84 mg,42.2 mcg,0.00 g,0.00 mg
"Oil, high oleic (70%), non trans, high stability, Natreon canola, vegetable",,,,,,0.00 g,,426.00 mg,,0.000 g,,,884,202.00 mg,0.00 g,,,0.00 mg,,2.070 g,,,14.339 g,0.286 g,69.893 g,,,,0.000 g,,,0.290 g,,,0.241 g,,,0.000 g,,,,0.674 g,,,1.348 g,100.00 g,0.767 g,0.077 g,0.690 g,0.0 g,,,,,,,,,,,3.437 g,0.286 g,0.000 g,,,,,,,,,,,,,,,,71.991 g,0.000 mg,,14.501 g,1.918 g,,2.597 g,69.970 g,0.000 g,,,,,,,17.098 g,,,0.00 g,0.000 mg,6.511 g,,,100 g,0.00 mg,,,,0.00 g,0.145 g,0.145 g,0.047 g,,,0.000 mg,,21.80 mg,,,21.80 mg,,,,,,,0.163 g,0.527 g,0.077 g,,,,,,0.00 IU,,,,0.0 mg,0.00 IU,,,21.80 mg,,0.00 g,
"Oil, nutmeg butter",,,0.000 g,0.0 g,0.000 g,0.00 g,0.000 g,,,0.000 g,0.00 mg,0.00 mg,884,,0.00 g,0.00 mcg,0.00 mcg,0.00 mg,,,,,,,,,0.00 mcg,0.000 g,0.000 g,,0.000 g,,0.000 g,,0.000 g,,,3.100 g,,,,,0.000 g,0.000 g,0.000 g,100.00 g,,,,0.0 g,,0.00 mcg,0.00 mcg,,,,0.000 g,0.000 g,,,4.300 g,0.000 g,0.000 g,0.000 g,,,0.00 mg,0.000 g,,0.000 g,0.00 mcg,0.00 mcg,0.000 g,0.00 mg,,,,0.000 g,4.800 g,0.000 mg,,0.000 g,0.000 g,0.000 g,0.000 g,4.800 g,0.000 g,0.000 mg,,,0.000 g,0.00 mg,0.00 mg,0.000 g,0.00 mg,0.000 g,0.00 g,0.000 mg,90.000 g,0.0 mcg,0.000 g,100 g,0.00 mg,,,,0.00 g,,,82.600 g,,0.00 mg,0.000 mg,0.000 g,0.20 mg,,,,,,,,,,,,,,0.000 g,0.000 g,,0.000 g,0.00 IU,0.00 mcg,0.00 mcg,0.000 mg,0.0 mg,,,,0.20 mg,,0.00 g,0.00 mg
"Oil, oat",,,,0.0 g,,0.00 g,,,,,0.00 mg,0.00 mg,884,,0.00 g,0.00 mcg,0.00 mcg,0.00 mg,,,,,,,,0.000 mg,0.00 mcg,,,,,,,,,,,0.390 g,,,,,,,,100.00 g,,,,0.0 g,,0.00 mcg,0.00 mcg,,,,,,,,16.670 g,0.200 g,,,,,0.00 mg,,,,0.00 mcg,0.00 mcg,,0.00 mg,,0.000 mg,,,35.110 g,0.000 mg,,39.080 g,1.050 g,,1.790 g,34.900 g,,0.000 mg,,,,0.00 mg,,40.870 g,0.00 mg,,0.00 g,0.000 mg,19.620 g,0.0 mcg,,100 g,0.00 mg,,,,0.00 g,,,0.240 g,,0.00 mg,0.000 mg,,14.40 mg,,,,,,,,,,,,,,,,,,0.00 IU,0.00 mcg,0.00 mcg,0.000 mg,0.0 mg,,,,14.40 mg,24.7 mcg,0.00 g,0.00 mg
"Oil, palm",,,0.000 g,0.0 g,0.000 g,0.00 g,0.000 g,,,0.000 g,0.00 mg,0.00 mg,884,,0.00 g,0.00 mcg,0.00 mcg,0.00 mg,0.3 mg,,,,,,,0.000 mg,0.00 mcg,0.000 g,0.000 g,,0.000 g,,0.000 g,,0.000 g,,,0.100 g,,,,,0.000 g,0.000 g,0.100 g,100.00 g,,,,0.0 g,,0.00 mcg,0.00 mcg,,,,0.000 g,0.000 g,,,43.500 g,0.300 g,0.000 g,0.000 g,,,0.01 mg,0.000 g,,0.000 g,0.00 mcg,0.00 mcg,0.000 g,0.00 mg,,,,0.000 g,37.000 g,0.000 mg,,9.100 g,4.300 g,0.000 g,0.200 g,36.600 g,0.000 g,0.000 mg,,,0.000 g,0.00 mg,,9.300 g,0.00 mg,0.000 g,0.00 g,0.000 mg,49.300 g,0.0 mcg,0.000 g,100 g,0.00 mg,,,,0.00 g,,,1.000 g,,0.00 mg,0.000 mg,0.000 g,15.94 mg,0.00 mg,0.00 mg,0.00 mg,,,,,,,,,,,0.000 g,0.000 g,,0.000 g,0.00 IU,0.00 mcg,0.00 mcg,0.000 mg,0.0 mg,,,,15.94 mg,8.0 mcg,0.00 g,0.00 mg
"Oil, principal uses popcorn and flavoring vegetables, soy (partially hydrogenated), industrial",,,0.000 g,0.0 g,0.000 g,0.00 g,0.000 g,,0.0 mg,0.000 g,0.00 mg,0.00 mg,884,,0.00 g,0.00 mcg,0.00 mcg,0.00 mg,0.2 mg,1.942 g,,,30.153 g,0.095 g,31.620 g,0.000 mg,0.00 mcg,0.000 g,0.000 g,,0.000 g,0.365 g,0.000 g,,0.000 g,,,0.000 g,,,,0.364 g,0.000 g,0.000 g,0.201 g,100.00 g,13.555 g,10.013 g,3.543 g,0.0 g,,0.00 mcg,0.00 mcg,,,,0.000 g,0.000 g,0.105 g,,10.543 g,0.095 g,0.000 g,0.000 g,,2.867 g,0.00 mg,0.000 g,,0.000 g,0.00 mcg,0.00 mcg,0.000 g,0.00 mg,,,,0.000 g,41.929 g,0.000 mg,,33.020 g,6.175 g,0.000 g,1.942 g,41.633 g,0.000 g,0.000 mg,0.037 g,,0.000 g,0.00 mg,132.00 mg,35.638 g,0.00 mg,0.000 g,0.00 g,0.000 mg,17.683 g,0.0 mcg,0.000 g,100 g,0.00 mg,,,,0.00 g,,,0.094 g,,0.00 mg,0.000 mg,0.000 g,8.10 mg,,,,,,,,,,,0.676 g,10.013 g,,0.000 g,0.000 g,,0.000 g,0.00 IU,0.00 mcg,0.00 mcg,0.000 mg,0.0 mg,,,,8.10 mg,24.7 mcg,0.00 g,0.00 mg
"Oil, salad or cooking, olive",,,0.000 g,0.0 g,0.000 g,0.00 g,0.000 g,,0.1 mg,0.000 g,0.00 mg,1.00 mg,884,,0.00 g,0.00 mcg,0.00 mcg,0.00 mg,0.3 mg,,,,,,,0.000 mg,0.00 mcg,0.000 g,0.000 g,0.0 mcg,0.000 g,0.129 g,0.000 g,,0.000 g,,,0.000 g,,,,0.414 g,0.000 g,0.000 g,0.311 g,100.00 g,,,,0.0 g,,0.00 mcg,0.00 mcg,,,,0.000 g,0.000 g,0.022 g,0.125 g,11.290 g,1.255 g,0.000 g,0.000 g,,,0.56 mg,0.000 g,,0.000 g,0.00 mcg,0.00 mcg,0.000 g,0.00 mg,,0.000 mg,,0.000 g,72.961 g,0.000 mg,,9.762 g,1.953 g,0.000 g,0.761 g,71.269 g,0.000 g,0.000 mg,,,0.000 g,0.00 mg,221.00 mg,10.523 g,1.00 mg,0.000 g,0.00 g,0.000 mg,13.808 g,0.0 mcg,0.000 g,100 g,2.00 mg,,,,0.00 g,0.000 g,,0.000 g,0.000 g,0.00 mg,0.000 mg,0.000 g,14.35 mg,0.11 mg,0.00 mg,0.83 mg,,,,,,,,,,,0.000 g,0.000 g,,0.000 g,0.00 IU,0.00 mcg,0.00 mcg,0.000 mg,0.0 mg,0.00 IU,,,14.35 mg,60.2 mcg,0.00 g,0.00 mg
"Oil, salad or cooking, peanut",,,0.000 g,0.0 g,0.000 g,0.00 g,0.000 g,,0.0 mg,0.000 g,0.00 mg,0.00 mg,884,,0.00 g,0.00 mcg,0.00 mcg,0.00 mg,0.1 mg,,,,,,,0.000 mg,0.00 mcg,0.000 g,0.000 g,,0.000 g,2.800 g,0.000 g,,0.000 g,,,0.000 g,,,,1.400 g,0.000 g,0.000 g,1.300 g,100.00 g,,,,0.0 g,,0.00 mcg,0.00 mcg,,,,0.000 g,0.000 g,,,9.500 g,0.100 g,0.000 g,0.000 g,,,0.03 mg,0.000 g,,0.000 g,0.00 mcg,0.00 mcg,0.000 g,0.00 mg,,,,0.000 g,46.200 g,0.000 mg,,32.000 g,2.200 g,0.000 g,0.000 g,44.800 g,0.000 g,0.000 mg,,,0.000 g,0.00 mg,207.00 mg,32.000 g,0.00 mg,0.000 g,0.00 g,0.000 mg,16.900 g,0.0 mcg,0.000 g,100 g,0.00 mg,,,,0.00 g,0.900 g,,0.100 g,,0.00 mg,0.000 mg,0.000 g,15.69 mg,0.46 mg,1.37 mg,15.91 mg,,,,,,,,,,,0.000 g,0.000 g,,0.000 g,0.00 IU,0.00 mcg,0.00 mcg,0.000 mg,0.0 mg,0.00 IU,,,15.69 mg,0.7 mcg,0.00 g,0.01 mg
"Oil, salad or cooking, sesame",,,0.000 g,0.0 g,0.000 g,0.00 g,0.000 g,,,0.000 g,0.00 mg,0.00 mg,884,,0.00 g,0.00 mcg,0.00 mcg,0.00 mg,0.2 mg,,,,,,,0.000 mg,0.00 mcg,0.000 g,0.000 g,,0.000 g,,0.000 g,,0.000 g,,,0.000 g,,,,,0.000 g,0.000 g,0.200 g,100.00 g,,,,0.0 g,,0.00 mcg,0.00 mcg,,,,0.000 g,0.000 g,,,8.900 g,0.200 g,0.000 g,0.000 g,,,0.00 mg,0.000 g,,0.000 g,0.00 mcg,0.00 mcg,0.000 g,0.00 mg,,,,0.000 g,39.700 g,0.000 mg,,41.300 g,4.800 g,0.000 g,0.300 g,39.300 g,0.000 g,0.000 mg,,,0.000 g,0.00 mg,865.00 mg,41.700 g,0.00 mg,0.000 g,0.00 g,0.000 mg,14.200 g,0.0 mcg,0.000 g,100 g,0.00 mg,,,,0.00 g,,,0.000 g,,0.00 mg,0.000 mg,0.000 g,1.40 mg,,,,,,,,,,,,,,0.000 g,0.000 g,,0.000 g,0.00 IU,0.00 mcg,0.00 mcg,0.000 mg,0.0 mg,0.00 IU,,,1.40 mg,13.6 mcg,0.00 g,0.00 mg
"Oil, walnut",,,0.000 g,0.0 g,0.000 g,0.00 g,0.000 g,,0.0 mg,0.000 g,0.00 mg,0.00 mg,884,,0.00 g,0.00 mcg,0.00 mcg,0.00 mg,0.4 mg,,,,,,,0.000 mg,0.00 mcg,0.000 g,0.000 g,,0.000 g,,0.000 g,,0.000 g,,,0.000 g,,,,,0.000 g,0.000 g,0.400 g,100.00 g,,,,0.0 g,,0.00 mcg,0.00 mcg,,,,0.000 g,0.000 g,,,7.000 g,0.100 g,0.000 g,0.000 g,,,0.00 mg,0.000 g,,0.000 g,0.00 mcg,0.00 mcg,0.000 g,0.00 mg,,,,0.000 g,22.800 g,0.000 mg,,52.900 g,2.000 g,0.000 g,10.400 g,22.200 g,0.000 g,0.000 mg,,,0.000 g,0.00 mg,176.00 mg,63.300 g,0.00 mg,0.000 g,0.00 g,0.000 mg,9.100 g,0.0 mcg,0.000 g,100 g,0.00 mg,,,,0.00 g,,,0.000 g,,0.00 mg,0.000 mg,0.000 g,0.40 mg,,,,,,,,,,,,,,0.000 g,0.000 g,,0.000 g,0.00 IU,0.00 mcg,0.00 mcg,0.000 mg,0.0 mg,0.00 IU,,,0.40 mg,15.0 mcg,0.00 g,0.00 mg
"Onions, raw",,,0.021 g,0.0 g,0.104 g,0.35 g,0.091 g,,0.1 mg,0.000 g,0.00 mg,23.00 mg,40,,9.34 g,0.00 mcg,1.00 mcg,0.00 mg,6.1 mg,,,0.000 g,,,,0.039 mg,0.00 mcg,0.004 g,0.000 g,0.0 mcg,0.000 g,0.000 g,0.000 g,,0.000 g,,,0.000 g,0.000 g,,,0.000 g,0.000 g,0.000 g,0.000 g,0.10 g,0.000 g,,,1.7 g,1.1 mcg,19.00 mcg,0.00 mcg,1.29 g,0.00 g,1.97 g,0.258 g,0.025 g,0.000 g,0.000 g,0.034 g,0.000 g,0.000 g,0.014 g,,,0.21 mg,0.014 g,0.00 g,0.025 g,4.00 mcg,0.00 mcg,0.039 g,10.00 mg,0.00 g,0.129 mg,,0.002 g,0.013 g,0.116 mg,,0.013 g,0.004 g,0.000 g,0.004 g,0.013 g,0.000 g,0.123 mg,0.000 g,0.000 g,0.025 g,29.00 mg,15.00 mg,0.017 g,146.00 mg,0.012 g,1.10 g,0.027 mg,0.042 g,0.5 mcg,0.021 g,100 g,4.00 mg,0.00 g,,0.99 g,4.24 g,0.000 g,,0.004 g,0.000 g,0.00 mg,0.046 mg,0.021 g,0.02 mg,0.00 mg,0.00 mg,0.00 mg,0.04 mg,0.00 mg,0.00 mg,0.00 mg,,,,,,,0.014 g,0.014 g,,0.021 g,2.00 IU,0.00 mcg,0.00 mcg,0.120 mg,7.4 mg,0.00 IU,,,0.02 mg,0.4 mcg,89.11 g,0.17 mg
"Onions, raw, sweet",,,0.017 g,0.0 g,0.111 g,0.34 g,0.067 g,,0.1 mg,,0.00 mg,20.00 mg,32,,7.55 g,0.00 mcg,1.00 mcg,0.00 mg,5.5 mg,,,,,,,0.056 mg,0.00 mcg,0.009 g,,0.0 mcg,,,,,,,,,,,,,,,,0.08 g,0.000 g,,,0.9 g,,23.00 mcg,,2.02 g,0.00 g,2.26 g,0.177 g,0.020 g,,,,,,0.011 g,,,0.26 mg,0.014 g,0.02 g,0.025 g,6.00 mcg,0.00 mcg,0.033 g,9.00 mg,0.00 g,0.076 mg,,0.009 g,,0.133 mg,,,,,,,,0.098 mg,,,0.024 g,27.00 mg,,,119.00 mg,0.015 g,0.80 g,0.020 mg,,0.5 mcg,0.020 g,100 g,8.00 mg,0.00 g,,0.72 g,5.02 g,,,,,0.00 mg,0.041 mg,0.018 g,0.02 mg,0.00 mg,0.00 mg,0.00 mg,0.01 mg,0.00 mg,0.00 mg,0.00 mg,,,,,,,0.009 g,0.012 g,,0.020 g,1.00 IU,0.00 mcg,,0.130 mg,4.8 mg,0.00 IU,,,0.02 mg,0.3 mcg,91.24 g,0.13 mg
"Onions, raw, welsh",,,0.086 g,0.0 g,0.137 g,0.70 g,0.176 g,,,,0.00 mg,18.00 mg,34,,6.50 g,,,0.00 mg,5.3 mg,,,,,,,0.070 mg,,,,,,,,,,,,,,,,,,,,0.40 g,0.000 g,,,2.4 g,,16.00 mcg,0.00 mcg,,,,0.393 g,0.094 g,,,0.060 g,,,0.033 g,,,1.22 mg,0.081 g,,0.113 g,,,0.095 g,23.00 mg,,0.137 mg,,0.021 g,0.056 g,0.400 mg,,0.148 g,0.005 g,,0.008 g,0.056 g,,0.169 mg,,,0.061 g,49.00 mg,,0.156 g,212.00 mg,0.126 g,1.90 g,0.090 mg,0.067 g,0.6 mcg,0.086 g,100 g,17.00 mg,,,,2.18 g,,,0.002 g,,0.00 mg,0.050 mg,0.074 g,0.51 mg,,,,,,,,,,,,,,0.021 g,0.055 g,,0.084 g,1160.00 IU,,0.00 mcg,0.072 mg,27.0 mg,0.00 IU,,,0.51 mg,193.4 mcg,90.50 g,0.52 mg
"Onions, tops only, young green",,,,0.0 g,,0.51 g,,,,0.000 g,0.00 mg,52.00 mg,27,,5.74 g,0.00 mcg,2400.00 mcg,0.00 mg,4.3 mg,0.021 g,0.000 g,0.000 g,0.043 g,0.002 g,0.018 g,0.031 mg,0.00 mcg,,0.012 g,,0.000 g,0.002 g,0.000 g,0.000 g,0.000 g,0.000 g,0.000 g,0.003 g,0.000 g,0.000 g,0.000 g,0.002 g,0.000 g,0.000 g,0.000 g,0.47 g,0.000 g,0.000 g,0.000 g,1.8 g,,30.00 mcg,0.00 mcg,2.12 g,0.00 g,1.64 g,,,0.001 g,0.000 g,0.045 g,0.002 g,0.000 g,,,,0.51 mg,,0.00 g,,858.00 mcg,0.00 mcg,,16.00 mg,0.00 g,0.150 mg,,,0.022 g,0.330 mg,0.000 g,0.043 g,0.012 g,0.000 g,0.021 g,0.018 g,0.000 g,0.138 mg,0.002 g,0.000 g,,25.00 mg,,0.064 g,159.00 mg,,0.97 g,0.026 mg,0.087 g,0.5 mcg,,100 g,15.00 mg,0.00 g,,0.16 g,3.91 g,0.002 g,0.000 g,0.006 g,0.002 g,0.00 mg,0.030 mg,,0.21 mg,,,,,,,,,0.000 g,0.000 g,,0.000 g,,,,,,4000.00 IU,200.00 mcg,0.00 mcg,0.088 mg,13.4 mg,0.00 IU,,,0.21 mg,156.3 mcg,92.32 g,0.20 mg
Orange Pineapple Juice Blend,,,,0.0 g,,0.35 g,,,,0.000 g,0.00 mg,8.00 mg,51,,12.20 g,3.00 mcg,5.00 mcg,0.00 mg,3.8 mg,,,,,,,0.034 mg,9.00 mcg,,0.000 g,,0.000 g,,0.000 g,,0.000 g,,,0.000 g,,,,,0.000 g,0.000 g,0.000 g,0.08 g,0.000 g,,,0.2 g,,10.00 mcg,0.00 mcg,,,,,,,,0.010 g,0.001 g,0.000 g,,,,0.18 mg,,,,14.00 mcg,0.00 mcg,,10.00 mg,,0.378 mg,,,0.009 g,0.173 mg,,0.019 g,0.001 g,0.000 g,0.005 g,0.008 g,0.000 g,,,,,11.00 mg,,0.024 g,150.00 mg,,0.41 g,0.025 mg,0.011 g,0.1 mcg,,100 g,4.00 mg,,,,10.57 g,,,0.000 g,,0.00 mg,0.040 mg,,0.07 mg,,,,,,,,,,,,,,,,,,17.00 IU,1.00 mcg,0.00 mcg,0.061 mg,40.7 mg,0.00 IU,,,0.07 mg,0.1 mcg,87.24 g,0.06 mg
"Orange juice, raw",,,0.015 g,0.0 g,0.047 g,0.40 g,0.075 g,,,0.000 g,0.00 mg,11.00 mg,45,,10.40 g,6.00 mcg,33.00 mcg,0.00 mg,6.2 mg,,,,,,,0.044 mg,169.00 mcg,0.005 g,0.000 g,,0.000 g,,0.000 g,,0.000 g,,,0.000 g,,,,,0.000 g,0.000 g,0.000 g,0.20 g,0.000 g,,,0.2 g,,30.00 mcg,0.00 mcg,,,,0.033 g,0.009 g,,,0.021 g,0.005 g,0.000 g,0.003 g,,,0.20 mg,0.008 g,,0.013 g,115.00 mcg,0.00 mcg,0.009 g,11.00 mg,,0.014 mg,,0.003 g,0.036 g,0.400 mg,,0.029 g,0.001 g,0.000 g,0.011 g,0.032 g,0.000 g,0.190 mg,,,0.009 g,17.00 mg,,0.040 g,200.00 mg,0.044 g,0.70 g,0.030 mg,0.024 g,0.1 mcg,0.013 g,100 g,1.00 mg,,,,8.40 g,,,0.001 g,,0.00 mg,0.090 mg,0.008 g,0.04 mg,,,,,,,,,,,,,,0.002 g,0.004 g,,0.011 g,200.00 IU,10.00 mcg,0.00 mcg,0.040 mg,50.0 mg,0.00 IU,,,0.04 mg,0.1 mcg,88.30 g,0.05 mg
"Orange juice, unsweetened, canned",,,0.015 g,0.0 g,0.046 g,0.43 g,0.073 g,,,0.000 g,0.00 mg,10.00 mg,47,,11.01 g,5.00 mcg,29.00 mcg,0.00 mg,6.2 mg,,,,,,,0.022 mg,148.00 mcg,0.005 g,0.000 g,,0.000 g,,0.000 g,,0.000 g,,,0.000 g,,,,,0.000 g,0.000 g,0.000 g,0.15 g,0.000 g,,,0.3 g,31.3 mcg,24.00 mcg,0.00 mcg,2.43 g,0.00 g,2.27 g,0.032 g,0.009 g,,,0.018 g,0.004 g,0.000 g,0.003 g,,,0.10 mg,0.007 g,0.00 g,0.013 g,115.00 mcg,0.00 mcg,0.009 g,10.00 mg,0.00 g,0.021 mg,,0.003 g,0.025 g,0.201 mg,,0.027 g,0.000 g,0.000 g,0.007 g,0.021 g,0.000 g,0.180 mg,,,0.008 g,17.00 mg,,0.034 g,184.00 mg,0.043 g,0.68 g,0.021 mg,0.018 g,0.1 mcg,0.013 g,100 g,4.00 mg,,,4.06 g,8.76 g,,,0.000 g,,0.00 mg,0.039 mg,0.008 g,0.20 mg,,,,,,,,,,,,,,0.002 g,0.003 g,,0.010 g,175.00 IU,9.00 mcg,0.00 mcg,0.031 mg,30.1 mg,0.00 IU,,,0.20 mg,0.1 mcg,87.72 g,0.04 mg
"Orange peel, raw",,,,0.0 g,,0.80 g,,,,0.000 g,,161.00 mg,97,,25.00 g,,,0.00 mg,,,,,,,,0.092 mg,,,0.000 g,,0.000 g,,0.000 g,,0.000 g,,,0.000 g,,,,,0.000 g,0.000 g,0.000 g,0.20 g,0.000 g,,,10.6 g,,30.00 mcg,0.00 mcg,,,,,,,,0.021 g,0.005 g,0.000 g,,,,0.80 mg,,,,,,,22.00 mg,,,,,0.036 g,0.900 mg,,0.029 g,0.001 g,0.000 g,0.011 g,0.032 g,0.000 g,0.490 mg,,,,21.00 mg,34.00 mg,0.040 g,212.00 mg,,1.50 g,0.090 mg,0.024 g,1.0 mcg,,100 g,3.00 mg,,,,,,,0.001 g,,,0.120 mg,,0.25 mg,,,,,,,,,,,,,,,,,,420.00 IU,21.00 mcg,0.00 mcg,0.176 mg,136.0 mg,,,,0.25 mg,,72.50 g,0.25 mg
"Oranges, navels, raw",,,0.032 g,,0.115 g,0.43 g,0.139 g,,0.1 mg,,,43.00 mg,49,,12.54 g,7.00 mcg,87.00 mcg,0.00 mg,8.4 mg,,,,,,,0.039 mg,116.00 mcg,0.010 g,,0.0 mcg,,,,,,,,,,,,,,,,0.15 g,0.000 g,,,2.2 g,,34.00 mcg,0.00 mcg,2.25 g,0.00 g,1.97 g,0.247 g,0.023 g,,,0.017 g,0.003 g,,0.013 g,,,0.13 mg,0.017 g,0.00 g,0.029 g,129.00 mcg,0.00 mcg,0.038 g,11.00 mg,0.00 g,0.029 mg,,0.009 g,0.030 g,0.425 mg,,0.023 g,,,0.009 g,0.026 g,,0.261 mg,,,0.021 g,23.00 mg,24.00 mg,0.031 g,166.00 mg,0.181 g,0.91 g,0.051 mg,0.017 g,0.0 mcg,0.037 g,100 g,1.00 mg,0.00 g,,4.28 g,8.50 g,,,,,,0.068 mg,0.018 g,0.15 mg,0.00 mg,0.00 mg,0.00 mg,0.01 mg,0.00 mg,0.00 mg,0.00 mg,,,,,,,0.009 g,0.013 g,,0.026 g,247.00 IU,12.00 mcg,0.00 mcg,0.079 mg,59.1 mg,0.00 IU,,,0.15 mg,0.0 mcg,85.97 g,0.08 mg
